field,hash,crop_path,example_sample_dir,example_png,count
peak_width_sec,eb3d7ff964341c113e552d2ad06402db,outputs\debug\crop_peak_width_sec_066.png,data\A20,data\A20\02bf27e3-9035-4a42-b536-43b7225995fc.png,1
detection_threshold,70dee5a14796cffabdc4664f564c6f70,outputs\debug\crop_detection_threshold_067.png,data\A20,data\A20\02bf27e3-9035-4a42-b536-43b7225995fc.png,1
minimum_area,96333a728bcb6a72856ce3f68eab5aa9,outputs\debug\crop_minimum_area_068.png,data\A20,data\A20\02bf27e3-9035-4a42-b536-43b7225995fc.png,3
minimum_height,8c667eda0f4ae3c34e1a76302b4903ad,outputs\debug\crop_minimum_height_069.png,data\A20,data\A20\02bf27e3-9035-4a42-b536-43b7225995fc.png,1
start_min,c05932e0a7f1f059f698ade12a47b96c,outputs\debug\crop_start_min_070.png,data\A21,data\A21\3b15ea15-02e4-4ccf-9dcb-320569673131.png,1
end_min,40a7b3b8110cf1901b702880f28e9ec8,outputs\debug\crop_end_min_071.png,data\A21,data\A21\3b15ea15-02e4-4ccf-9dcb-320569673131.png,1
peak_width_sec,403bd5b4abbd75caeba7b9c4de11de11,outputs\debug\crop_peak_width_sec_072.png,data\A21,data\A21\3b15ea15-02e4-4ccf-9dcb-320569673131.png,2
detection_threshold,58399c80848afe221bfc73f2d7ccd782,outputs\debug\crop_detection_threshold_073.png,data\A21,data\A21\3b15ea15-02e4-4ccf-9dcb-320569673131.png,1
minimum_height,c19c1dc9d49ae7724b4df00eff63e6e2,outputs\debug\crop_minimum_height_074.png,data\A21,data\A21\3b15ea15-02e4-4ccf-9dcb-320569673131.png,1
start_min,ef869a2bc75894762d57913a0fb32595,outputs\debug\crop_start_min_075.png,data\A4,data\A4\432f87be-e397-4328-9cb9-49a17b2bfa64.png,2
end_min,ba25eb5418555b928810f685e853b85e,outputs\debug\crop_end_min_076.png,data\A4,data\A4\432f87be-e397-4328-9cb9-49a17b2bfa64.png,2
peak_width_sec,023a633b4cc156a7a6785cf4c1e81ae1,outputs\debug\crop_peak_width_sec_077.png,data\A4,data\A4\432f87be-e397-4328-9cb9-49a17b2bfa64.png,2
detection_threshold,9210a146bf0dae8428756a605ec32ea0,outputs\debug\crop_detection_threshold_078.png,data\A4,data\A4\432f87be-e397-4328-9cb9-49a17b2bfa64.png,2
minimum_area,15571e28f73e8bf91bb08887fca268c7,outputs\debug\crop_minimum_area_079.png,data\A4,data\A4\432f87be-e397-4328-9cb9-49a17b2bfa64.png,2
minimum_height,68450482e6c864c05d0bf44999172e04,outputs\debug\crop_minimum_height_080.png,data\A4,data\A4\432f87be-e397-4328-9cb9-49a17b2bfa64.png,2
start_min,6b6db95205793a8d83632b4477d624c5,outputs\debug\crop_start_min_081.png,data\A5,data\A5\942b2fde-d2c1-4b2d-a6aa-3d4f58f150c2.png,2
end_min,258d7cfb1bb31a986d4b48d9e9fefefd,outputs\debug\crop_end_min_082.png,data\A5,data\A5\942b2fde-d2c1-4b2d-a6aa-3d4f58f150c2.png,2
peak_width_sec,bb14a5fbd5c375b0aadaee433ce0374e,outputs\debug\crop_peak_width_sec_083.png,data\A5,data\A5\942b2fde-d2c1-4b2d-a6aa-3d4f58f150c2.png,2
minimum_height,48d4ac1b43ba13ea3a56101b7ee1a3b4,outputs\debug\crop_minimum_height_084.png,data\A5,data\A5\942b2fde-d2c1-4b2d-a6aa-3d4f58f150c2.png,2
start_min,dc0581f349698c29e93fce79145cd66f,outputs\debug\crop_start_min_085.png,data\A6,data\A6\1ea2adaf-fa3a-422e-b30d-0d210f05ceb1.png,2
end_min,6fcf703bd3a314ffda5a401e4b8ef68e,outputs\debug\crop_end_min_086.png,data\A6,data\A6\1ea2adaf-fa3a-422e-b30d-0d210f05ceb1.png,2
peak_width_sec,1c5e041b73995222a901e2650d0d8400,outputs\debug\crop_peak_width_sec_087.png,data\A6,data\A6\1ea2adaf-fa3a-422e-b30d-0d210f05ceb1.png,2
detection_threshold,b3af8ce3662cc525146ed72a0f3c6a43,outputs\debug\crop_detection_threshold_088.png,data\A6,data\A6\1ea2adaf-fa3a-422e-b30d-0d210f05ceb1.png,2
minimum_area,be595c3c9f7d2b6b8cb5a58a57b5c338,outputs\debug\crop_minimum_area_089.png,data\A6,data\A6\1ea2adaf-fa3a-422e-b30d-0d210f05ceb1.png,2
minimum_height,2493cf12937d3ff1532c64e06b980793,outputs\debug\crop_minimum_height_090.png,data\A6,data\A6\1ea2adaf-fa3a-422e-b30d-0d210f05ceb1.png,2
start_min,a9cc48c0594c45eb8ef4da6ceb53e221,outputs\debug\crop_start_min_091.png,data\A7,data\A7\9f931791-edd7-4424-a2c4-20478d647680.png,1
end_min,93e42041f1212df2c60f96bd9b17a4e9,outputs\debug\crop_end_min_092.png,data\A7,data\A7\9f931791-edd7-4424-a2c4-20478d647680.png,1
peak_width_sec,4fcc2ee864b638a75f9d7f4b3980bf58,outputs\debug\crop_peak_width_sec_093.png,data\A7,data\A7\9f931791-edd7-4424-a2c4-20478d647680.png,1
detection_threshold,edcacd6b8396210f907be3d5b2ebf0a2,outputs\debug\crop_detection_threshold_094.png,data\A7,data\A7\9f931791-edd7-4424-a2c4-20478d647680.png,1
minimum_height,f3a23a301f26a8240170c021f5e64e8d,outputs\debug\crop_minimum_height_095.png,data\A7,data\A7\9f931791-edd7-4424-a2c4-20478d647680.png,1
start_min,3a7b452132035f0e00cd29d61ea37a8b,outputs\debug\crop_start_min_096.png,data\A8,data\A8\6c6c468f-425a-4281-8f7d-d14bca44c3ff.png,1
end_min,2ace62ae58f6ac60436ac4ebe8fb307b,outputs\debug\crop_end_min_097.png,data\A8,data\A8\6c6c468f-425a-4281-8f7d-d14bca44c3ff.png,1
peak_width_sec,1331518ca850379cd575bb2cb281ab6d,outputs\debug\crop_peak_width_sec_098.png,data\A8,data\A8\6c6c468f-425a-4281-8f7d-d14bca44c3ff.png,1
detection_threshold,2254a35e0b9b05641689233b942b6a07,outputs\debug\crop_detection_threshold_099.png,data\A8,data\A8\6c6c468f-425a-4281-8f7d-d14bca44c3ff.png,1
minimum_height,13d30024d5f31e4b38e9b77b3c07014b,outputs\debug\crop_minimum_height_100.png,data\A8,data\A8\6c6c468f-425a-4281-8f7d-d14bca44c3ff.png,1
start_min,796b395ffea04ba271edae72a64615ce,outputs\debug\crop_start_min_101.png,data\A9,data\A9\62034378-4a51-40c8-a1ca-565ab82434aa.png,1
end_min,c43989a1408b7d856a60e5df23ba5a0d,outputs\debug\crop_end_min_102.png,data\A9,data\A9\62034378-4a51-40c8-a1ca-565ab82434aa.png,1
peak_width_sec,c9350b0f1882b0380b318db9ac57eb70,outputs\debug\crop_peak_width_sec_103.png,data\A9,data\A9\62034378-4a51-40c8-a1ca-565ab82434aa.png,1
detection_threshold,87b32dff94b2a7c053e01787c55398a9,outputs\debug\crop_detection_threshold_104.png,data\A9,data\A9\62034378-4a51-40c8-a1ca-565ab82434aa.png,1
minimum_height,5f68a50a7e1a78d5c7043f5a2e97761f,outputs\debug\crop_minimum_height_105.png,data\A9,data\A9\62034378-4a51-40c8-a1ca-565ab82434aa.png,1
start_min,9cec42d356f37f8c29130f416416b9dd,outputs\debug\crop_start_min_106.png,data\B1,data\B1\319f0c5a-7b7d-4cb3-adb6-bb509b0e36e7.png,1
end_min,fab0630e304ca7efe1c164d6cd294129,outputs\debug\crop_end_min_107.png,data\B1,data\B1\319f0c5a-7b7d-4cb3-adb6-bb509b0e36e7.png,1
peak_width_sec,4d7d2e57d0bec9413af7c0c16f318c7a,outputs\debug\crop_peak_width_sec_108.png,data\B1,data\B1\319f0c5a-7b7d-4cb3-adb6-bb509b0e36e7.png,1
detection_threshold,6100d1b6611e583604f247ae23ad46f2,outputs\debug\crop_detection_threshold_109.png,data\B1,data\B1\319f0c5a-7b7d-4cb3-adb6-bb509b0e36e7.png,1
minimum_area,75908c6de8158b65ae1b7f202797c497,outputs\debug\crop_minimum_area_110.png,data\B1,data\B1\319f0c5a-7b7d-4cb3-adb6-bb509b0e36e7.png,1
minimum_height,44a1e853e37e379b4f32a175e4ede585,outputs\debug\crop_minimum_height_111.png,data\B1,data\B1\319f0c5a-7b7d-4cb3-adb6-bb509b0e36e7.png,1
start_min,6d036445e322f562c26f14758f284df9,outputs\debug\crop_start_min_112.png,data\B10,data\B10\8da600e9-bb95-46ba-9cdf-538f9af92084.png,1
end_min,c2c77850f8ea6f3ff5c24be2a893bd7f,outputs\debug\crop_end_min_113.png,data\B10,data\B10\8da600e9-bb95-46ba-9cdf-538f9af92084.png,1
peak_width_sec,f6d12d312b84b0095061a141341f4311,outputs\debug\crop_peak_width_sec_114.png,data\B10,data\B10\8da600e9-bb95-46ba-9cdf-538f9af92084.png,1
detection_threshold,b84c14f52813f5fef242a42feb0f55d7,outputs\debug\crop_detection_threshold_115.png,data\B10,data\B10\8da600e9-bb95-46ba-9cdf-538f9af92084.png,2
minimum_area,a355484b67c8e3deab1c750ef027130c,outputs\debug\crop_minimum_area_116.png,data\B10,data\B10\8da600e9-bb95-46ba-9cdf-538f9af92084.png,2
minimum_height,333db3b3a91f83da4a418f58eda1f277,outputs\debug\crop_minimum_height_117.png,data\B10,data\B10\8da600e9-bb95-46ba-9cdf-538f9af92084.png,1
start_min,c90d2ba4fb3902cdf3ca8052e14d8793,outputs\debug\crop_start_min_118.png,data\B11,data\B11\441420a7-e3a8-48db-b23b-4eb6fc828cba.png,1
end_min,47d9adf6ea39be0cea12eeb66a736bbd,outputs\debug\crop_end_min_119.png,data\B11,data\B11\441420a7-e3a8-48db-b23b-4eb6fc828cba.png,1
peak_width_sec,4901b6291789c6be972c23e8a4e2a4e2,outputs\debug\crop_peak_width_sec_120.png,data\B11,data\B11\441420a7-e3a8-48db-b23b-4eb6fc828cba.png,1
detection_threshold,e68ffb47b3002ee1b825ae195a9cb33f,outputs\debug\crop_detection_threshold_121.png,data\B11,data\B11\441420a7-e3a8-48db-b23b-4eb6fc828cba.png,1
minimum_height,dbd320b245771cdbf6d6b26637e214c1,outputs\debug\crop_minimum_height_122.png,data\B11,data\B11\441420a7-e3a8-48db-b23b-4eb6fc828cba.png,1
start_min,ee7d76c770aad896487f60aa9873bfc3,outputs\debug\crop_start_min_123.png,data\B12,data\B12\0ada181a-fdf9-45ef-8862-34ab7ee62bab.png,1
end_min,7e1daf02a10b89b5817848b4bd470c81,outputs\debug\crop_end_min_124.png,data\B12,data\B12\0ada181a-fdf9-45ef-8862-34ab7ee62bab.png,1
peak_width_sec,5dfe1bdfb9d887b88b7b83707a5c208f,outputs\debug\crop_peak_width_sec_125.png,data\B12,data\B12\0ada181a-fdf9-45ef-8862-34ab7ee62bab.png,1
detection_threshold,88be21b7604695d96bfa9cc98455fed1,outputs\debug\crop_detection_threshold_126.png,data\B12,data\B12\0ada181a-fdf9-45ef-8862-34ab7ee62bab.png,1
minimum_height,af93d2ad66c08c845133aed513ab0b4f,outputs\debug\crop_minimum_height_127.png,data\B12,data\B12\0ada181a-fdf9-45ef-8862-34ab7ee62bab.png,1
start_min,c2086c44a5de3b1fea313ed6485ad553,outputs\debug\crop_start_min_128.png,data\B13,data\B13\d19428fe-4f67-4f47-bfe6-8af69b1d4535.png,1
end_min,ffde383cdbca3440294c972bcffcf21c,outputs\debug\crop_end_min_129.png,data\B13,data\B13\d19428fe-4f67-4f47-bfe6-8af69b1d4535.png,1
peak_width_sec,e2854523b00fcdcbab7804e7dbe9bb1b,outputs\debug\crop_peak_width_sec_130.png,data\B13,data\B13\d19428fe-4f67-4f47-bfe6-8af69b1d4535.png,1
detection_threshold,f0558c38ef54612eb69084fd79e182b1,outputs\debug\crop_detection_threshold_131.png,data\B13,data\B13\d19428fe-4f67-4f47-bfe6-8af69b1d4535.png,1
minimum_area,73a8c0e4d2aa57c0605b40921f577fbf,outputs\debug\crop_minimum_area_132.png,data\B13,data\B13\d19428fe-4f67-4f47-bfe6-8af69b1d4535.png,1
minimum_height,8120df122c996eb4ac68598304a0d61c,outputs\debug\crop_minimum_height_133.png,data\B13,data\B13\d19428fe-4f67-4f47-bfe6-8af69b1d4535.png,1
start_min,b09812eba5ab0eda9bfae50be5c1a530,outputs\debug\crop_start_min_134.png,data\B14,data\B14\2b85f569-a371-438c-b33f-9d41cb9fbfcd.png,1
end_min,33ad9cb38bd29cace2bb7c9658507514,outputs\debug\crop_end_min_135.png,data\B14,data\B14\2b85f569-a371-438c-b33f-9d41cb9fbfcd.png,1
peak_width_sec,e9c0da9cf803d8ecaf10fe293f02bd37,outputs\debug\crop_peak_width_sec_136.png,data\B14,data\B14\2b85f569-a371-438c-b33f-9d41cb9fbfcd.png,1
